,1,2,3
1,0.048009866666666665,0.0,0.09333386666666668
2,0.19354193333333336,0.0,0.044000000000000004
3,0.22074106666666668,0.0,0.05600020000000001
4,0.2126704,0.13333333333333333,0.040000799999999996
5,0.21700173333333334,0.4,0.09600000000000002
6,0.1589342,0.4,0.044000000000000004
7,0.21613386666666665,0.4,0.09600000000000002
8,0.16446733333333335,0.4,0.044000000000000004
9,0.22100046666666667,0.4,0.09600000000000002
10,0.16020106666666667,0.4,0.044000000000000004
11,0.08466713333333334,0.4,0.053334066666666666
12,0.2064,0.4,0.06666733333333334
13,0.29220046666666666,0.4,0.07
14,0.33586673333333333,0.4,0.05666673333333334
15,0.18926673333333335,0.4,0.083
16,0.3076005333333333,0.4,0.030333466666666666
17,0.17280086666666666,0.4,1e-06
18,0.2914676,0.4,0.13499999999999998
19,0.16393406666666668,0.4,0.005
20,0.2147346,0.4,0.10666713333333334
21,0.2572017333333333,0.4,0.044000000000000004
22,0.28113346666666666,0.0,0.09600000000000002
23,0.15226746666666668,0.0,0.044000000000000004
24,0.3827341333333333,0.0,0.05600020000000001
25,0.1504674,0.0,0.109
26,0.40766786666666666,0.0,0.031000000000000003
27,0.16086866666666666,0.0,0.109
28,0.38453740000000003,0.0,0.031000000000000003
29,0.1332708,0.0,0.109
30,0.3784055333333333,0.0,0.031000133333333336
31,0.14100413333333334,0.0,0.109001
32,0.2826730666666667,0.0,0.031001
33,0.1280074,0.0,0.109001
34,0.369007,0.0,0.031001
35,0.1822076,0.0,0.109001
36,0.2910083333333333,0.0,0.031001
37,0.298008,0.0,0.109001
38,0.2736739333333334,0.0,2.2e-06
39,0.30100679999999996,0.0,0.05666873333333333
40,0.265008,0.0,0.20053520000000002
41,0.1843418666666667,0.0,0.07400100000000001
42,0.1658084,0.0,0.2034678
43,0.3111409333333333,0.0,0.15000159999999998
44,0.24473966666666666,0.0,0.400001
45,0.36700473333333333,0.0,0.16400146666666665
46,0.2610054,0.0,0.210001
47,0.19600653333333332,0.0,0.080001
48,0.1662068,0.0,0.20400160000000003
49,0.2823404,0.0,0.07000106666666667
50,0.2570072,0.0,0.200001
51,0.2956743333333334,0.0,0.07000100000000001
52,0.29287266666666667,0.0,0.200001
53,0.3106736666666666,0.0,0.07000100000000001
54,0.25700826666666665,0.0,0.4800003333333333
55,0.2830067333333333,0.0,0.0010018
56,0.2570049333333333,0.0,0.10966746666666667
57,0.20233766666666667,0.0,0.1634006
58,0.29600293333333333,0.0,0.004801133333333333
59,0.2440012666666667,0.0,0.148001
60,0.29600000000000004,0.0,0.12840073333333332
61,0.24400066666666667,0.0,0.15600099999999997
62,0.29966693333333333,0.0,0.13000099999999998
63,0.249,0.0,0.4826667333333334
64,0.30100000000000005,0.0,0.48000000000000004
65,0.249,0.0,0.506
66,0.296001,0.0,0.17666753333333332
67,0.244001,0.0,0.008001999999999999
68,0.296001,0.0,0.32866860000000003
69,0.244001,0.0,0.3466682
70,0.2960013333333334,0.0,0.4675348
71,0.24400200000000002,0.0,0.535001
72,0.296002,0.0,0.5314016
73,0.28233566666666665,0.0,0.45666853333333335
74,0.34767126666666665,0.0,0.4480006
75,0.31134073333333334,0.0,0.422
76,0.1818114,0.0,0.3680002666666667
77,0.41027919999999996,0.0,0.22200013333333332
78,0.25881213333333336,0.13333333333333333,0.14800000000000002
79,0.5260133333333333,0.4,0.12200000000000001
80,0.2032846,0.4,0.14800000000000002
81,0.42815026666666667,0.4,0.12200000000000001
82,0.25488273333333333,0.4,0.14800000000000002
83,0.39821446666666666,0.4,0.12200000000000001
84,0.4233476666666667,0.4,0.14800000000000002
85,0.3608829333333334,0.4,0.12200000000000001
86,0.3121492,0.4,0.14800000000000002
87,0.2886805333333333,0.4,0.12200000000000001
88,0.3787456,0.4,0.14800000000000002
89,0.31607939999999995,0.4,0.06733386666666667
90,0.16808246666666668,0.4,0.07
91,0.15201433333333333,0.4,0.07
92,0.39667939999999996,0.4,0.07
93,0.21520786666666666,0.4,0.0020006
94,0.4427408,0.4,0.13366693333333332
95,0.16020973333333333,0.4,0.005
96,0.14167733333333332,0.37333333333333335,0.0013340666666666668
97,0.12407893333333334,0.4,0.053334066666666666
98,0.44234,0.4,0.083
99,0.15900546666666668,0.4,0.057
100,0.1664714,0.4,0.16033346666666667
101,0.21193393333333335,0.4,0.005
102,0.07073453333333334,0.4,0.12133346666666668
103,0.30853359999999996,0.4,0.018000000000000002
104,0.04820073333333333,0.4,0.12200000000000001
105,0.1990016,0.4,0.018000000000000002
106,0.055666733333333336,0.4,0.12200000000000001
107,0.29820053333333335,0.4,0.018000000000000002
108,0.06466786666666666,0.4,0.12200000000000001
109,0.256001,0.4,0.018000000000000002
110,0.12553426666666667,0.4,0.12200000000000001
111,0.1795340666666667,0.4,0.018000000000000002
112,0.16293433333333332,0.4,0.12200000000000001
113,0.156,0.4,0.018000000000000002
114,0.1522006,0.4,0.12200000000000001
115,0.21933366666666665,0.4,0.018000000000000002
116,0.089667,0.4,0.0140008
117,0.22180006666666668,0.4,0.12200000000000001
118,0.08506799999999999,0.4,0.018000000000000002
119,0.121134,0.4,0.12100020000000002
120,0.2865342,0.4,0.13466673333333334
121,0.04,0.10666666666666667,0.005
122,0.37746826666666666,0.0,0.13466673333333334
123,0.021670733333333338,0.0,0.005
124,0.32100413333333333,0.0,0.17400000000000002
125,0.101005,0.0,0.018000000000000002
126,0.3428714,0.0,0.09533486666666667
127,0.12567286666666666,0.0,0.1340028
128,0.20320786666666668,0.0,0.005003
129,0.3008074,0.0,0.135003
130,0.2445412666666667,0.0,0.3063365999999999
131,0.15734126666666667,0.0,0.3540031999999999
132,0.37987493333333333,0.0,0.5136693333333333
133,0.166009,0.0,0.40066953333333327
134,0.374009,0.0,0.3690029999999999
135,0.166009,0.0,0.23366973333333332
136,0.374009,0.0,0.18940340000000003
137,0.1718749333333333,0.0,0.08700300000000001
138,0.382007,0.0,0.4710022
139,0.1578738,0.0,0.41033546666666665
140,0.415005,0.0,0.3546696666666666
