Column1,Column2,Column3
0.048009866666666665,0.201542,0.16600946666666666
0.19354193333333336,0.158008,0.16714186666666667
0.22074106666666668,0.1938726,0.2516716666666667
0.2126704,0.2529362666666667,0.07913740000000001
0.21700173333333334,0.10140033333333334,0.31793466666666664
0.1589342,0.2694672,0.06746713333333335
0.21613386666666665,0.08720053333333334,0.07753473333333334
0.16446733333333335,0.1680018,0.13793446666666667
0.22100046666666667,0.18233446666666667,0.09753406666666667
0.16020106666666667,0.047467466666666666,0.2719334666666667
0.08466713333333334,0.1736674,0.150667
0.2064,0.2544672,0.269
0.29220046666666666,0.10400000000000001,0.15233346666666667
0.33586673333333333,0.2566672,0.2770668
0.18926673333333335,0.0440012,0.154667
0.3076005333333333,0.3168011333333334,0.26386733333333334
0.17280086666666666,0.06473366666666666,0.1474668
0.2914676,0.25506793333333333,0.17773466666666668
0.16393406666666668,0.22513346666666667,0.09580033333333333
0.2147346,0.2119336,0.30760059999999995
0.2572017333333333,0.213,0.12186706666666665
0.28113346666666666,0.21220019999999998,0.32653346666666666
0.15226746666666668,0.21140006666666666,0.0811336
0.3827341333333333,0.209,0.3630672
0.1504674,0.20900013333333334,0.07220113333333335
0.40766786666666666,0.2106016,0.3480026666666667
0.16086866666666666,0.35813473333333334,0.06200426666666667
0.38453740000000003,0.18660219999999997,0.3200048666666666
0.1332708,0.3409348666666666,0.2838041333333334
0.3784055333333333,0.28440386666666667,0.18140433333333333
0.14100413333333334,0.270004,0.163673
0.2826730666666667,0.2716038,0.35067233333333336
0.1280074,0.2700048,0.14360566666666666
0.369007,0.27000706666666663,0.38687126666666666
0.1822076,0.27000799999999997,0.10647333333333334
0.2910083333333333,0.20334166666666667,0.15800933333333333
0.298008,0.40200833333333336,0.2440074
0.2736739333333334,0.15300813333333335,0.28807353333333335
0.30100679999999996,0.4349395999999999,0.25653926666666665
0.265008,0.1749396,0.29020546666666663
0.1843418666666667,0.35167479999999995,0.23300533333333331
0.1658084,0.24934006666666667,0.2570056
0.3111409333333333,0.31100553333333336,0.2180037333333333
0.24473966666666666,0.17807073333333331,0.2570012666666667
0.36700473333333333,0.4041360666666666,0.17800120000000003
0.2610054,0.1530046,0.1890030666666667
0.19600653333333332,0.387003,0.3480043333333333
0.1662068,0.153003,0.16500419999999996
0.2823404,0.39500386666666665,0.36500473333333333
0.2570072,0.161006,0.17900566666666667
0.2956743333333334,0.2981409333333333,0.3626084
0.29287266666666667,0.273741,0.18167533333333333
0.3106736666666666,0.29460680000000006,0.37840746666666664
0.25700826666666665,0.28500753333333334,0.202006
0.2830067333333333,0.29007320000000003,0.3713394666666667
0.2570049333333333,0.2860061333333333,0.19000386666666666
0.20233766666666667,0.2758696666666667,0.3610025333333333
0.29600293333333333,0.27000126666666663,0.17900200000000002
0.2440012666666667,0.25666673333333334,0.26766833333333334
0.29600000000000004,0.09666753333333333,0.3090001333333333
0.24400066666666667,0.4,0.23099999999999998
0.29966693333333333,0.14,0.309
0.249,0.22666753333333337,0.23099999999999998
0.30100000000000005,0.2713336666666667,0.309
0.249,0.27033426666666666,0.23099999999999998
0.296001,0.270001,0.31900033333333333
0.244001,0.2760006,0.20533366666666666
0.296001,0.2850002,0.31066673333333333
0.244001,0.28900066666666663,0.259
0.2960013333333334,0.29400066666666663,0.28433346666666665
0.24400200000000002,0.30106733333333335,0.2990002
0.296002,0.30133459999999995,0.27546786666666667
0.28233566666666665,0.3002694,0.3397350666666667
0.34767126666666665,0.3265364666666667,0.2610684
0.31134073333333334,0.33153733333333335,0.3236031333333333
0.1818114,0.3323388,0.3414070666666667
0.41027919999999996,0.3948734666666667,0.32327399999999995
0.25881213333333336,0.4036769333333333,0.3692762666666667
0.5260133333333333,0.5019402,0.3987416
0.2032846,0.4418109333333333,0.469475
0.42815026666666667,0.5646761333333334,0.39301166666666665
0.25488273333333333,0.5318116,0.42828019999999994
0.39821446666666666,0.5391454666666667,0.4144802
0.4233476666666667,0.6005443333333333,0.2768828
0.3608829333333334,0.5738128000000001,0.5187506666666667
0.3121492,0.47734766666666667,0.3746807333333333
0.2886805333333333,0.49468186666666664,0.5386153333333333
0.3787456,0.46648266666666666,0.33161653333333335
0.31607939999999995,0.39768446666666674,0.34794980000000003
0.16808246666666668,0.38968413333333335,0.27648246666666665
0.15201433333333333,0.38601386666666665,0.43801466666666666
0.39667939999999996,0.3698128,0.20181639999999998
0.21520786666666666,0.09501399999999999,0.39594893333333325
0.4427408,0.2642124666666667,0.21788520000000003
0.16020973333333333,0.1416768,0.22154953333333333
0.14167733333333332,0.13461213333333336,0.1723474
